archivo,clase,rms,zcr,centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,cluster,concentracion
100032-3-0-0.wav,dog_bark,0.16439217,0.12346540178571429,2089.8499518100016,-211.93698,62.581207,-122.813156,-60.74528,-13.89376,-29.789827,-3.978872,11.682744,12.963831,8.336425,-6.5298166,-2.9961019,-12.887947,0,moderado
100263-2-0-117.wav,children_playing,0.0041481704,0.13877912752890173,2137.808990828793,-417.0052,99.336624,-42.995586,51.073326,9.853777,7.9696927,11.197089,1.9291172,7.0303974,4.2702274,-3.5847254,13.890946,-2.7644935,2,favorable
100263-2-0-121.wav,children_playing,0.0030711747,0.10200279985549134,1846.7675290485167,-452.39316,112.36253,-37.57807,43.19586,8.6318445,15.379366,16.882149,1.2330472,6.8331223,3.9001155,-5.1688495,8.300043,1.904139,2,favorable
100263-2-0-126.wav,children_playing,0.004994379,0.13076058977601157,2301.066813856072,-406.47922,91.1966,-25.043558,42.78452,11.5868435,5.054165,12.431632,-1.5999484,6.6560645,1.4423549,-4.6248703,14.211005,0.43427122,2,favorable
100263-2-0-137.wav,children_playing,0.0032658624,0.11810479136560693,2004.9471764274424,-439.63867,103.86224,-42.658787,50.690277,12.20942,15.873465,11.729268,1.5335848,11.292243,2.5486214,-7.2909727,10.374461,2.101837,2,favorable
100263-2-0-143.wav,children_playing,0.004349466,0.07331839324421965,1796.3247332105707,-441.0859,108.92061,-25.777704,47.518364,10.559942,17.494894,13.253758,4.494608,5.4987245,3.7522378,-2.0476546,8.526797,3.1174965,2,favorable
100263-2-0-161.wav,children_playing,0.0028920667,0.07345669255780347,1767.9200299556067,-469.41965,109.28011,-18.456553,46.043015,11.825916,17.288229,10.015718,3.0386167,6.914886,2.9937265,-0.9570154,11.985635,2.7677853,2,favorable
100263-2-0-3.wav,children_playing,0.003227465,0.07224022308526011,1818.1884620213646,-457.14645,106.52766,-19.124525,39.871788,4.823955,22.051247,16.051298,7.627046,6.465357,5.7486687,-2.0007885,9.2373,1.5500599,2,favorable
100263-2-0-36.wav,children_playing,0.003511641,0.06677598898121387,1654.5934256239395,-466.2641,118.13225,-29.881447,50.494637,5.178186,21.636282,13.622517,7.285783,8.18979,3.1339176,-2.2994,13.043378,0.5957664,2,favorable
100648-1-0-0.wav,car_horn,0.04312787,0.11868722098214286,2244.9030248711197,-188.62563,102.429115,-2.3306003,-10.946157,-8.9826765,-15.690951,-30.035511,-6.1547685,-9.007839,-12.61334,-10.587378,-1.1968133,-13.455124,0,moderado
